address,motif1,motif1_00,motif1_01,motif1_10,motif1_11,motif2,motif3,motif1_ratio,motif2_ratio,motif3_ratio,motif1_00_ratio,motif1_01_ratio,motif1_10_ratio,motif1_11_ratio,label
0x02095d057ff161e53ec689ab17c34e6d65899b1d,15,0,0,15,0,0,30,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0
0x020b1573f2ca670190d33ca2f0a57b0c0399ad37,39,39,0,0,0,956,0,0.03919597989949749,0.9608040201005025,0.0,1.0,0.0,0.0,0.0,0
0x021bcdee4d5a997ae0a594e8362fe103f14aff79,10,0,5,5,0,10,0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0
0x022154d3816a1252ed0e68c98838694bfcd98be8,15,15,0,0,0,30,0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0
0x024C344DA7208e60356378a252dAb771c34Be111,76,76,0,0,0,1088,0,0.06529209621993128,0.9347079037800687,0.0,1.0,0.0,0.0,0.0,0
0x025f8ab40e72901ad04583c27077487cbe83cb67,46,17,29,0,0,2812,0,0.01609517144856543,0.9839048285514346,0.0,0.3695652173913043,0.6304347826086957,0.0,0.0,0
0x026e78f168df546aabb2733b37920c55b335be80,218,86,0,128,4,1412,24,0.13180169286577992,0.8536880290205562,0.014510278113663845,0.3944954128440367,0.0,0.5871559633027523,0.01834862385321101,0
0x02701809c14ad7062c71628c63d7851bc5f367ce,151,118,14,3,16,284,54,0.30879345603271985,0.5807770961145194,0.11042944785276074,0.7814569536423841,0.09271523178807947,0.019867549668874173,0.10596026490066225,0
0x02745ad75e786f0b2efbd99504e22c3cace354c1,0,0,0,0,0,952,0,0.0,1.0,0.0,,,,,0
0x0275a8960fcb1235b095cb9f40edcae031eae5fd,5,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0x027a46b6cd1e80df60f5cf0f22c3f3fb899b2efd,52,52,0,0,0,140,8,0.26,0.7,0.04,1.0,0.0,0.0,0.0,0
0x0297772598b604cce74bafea2b863205541934aa,20,5,0,15,0,60,0,0.25,0.75,0.0,0.25,0.0,0.75,0.0,0
0x0297a3211d69a1a268591e1Ff6f570699cCC50CA,80,68,8,4,0,286,10,0.2127659574468085,0.7606382978723404,0.026595744680851064,0.85,0.1,0.05,0.0,0
0x029c42a07652d436533e3cb9b9c69fa188e91981,0,0,0,0,0,0,0,,,,,,,,0
0x02b99dc82992fef743d6cca1c839d272d5afe8ea,14,14,0,0,0,26,0,0.35,0.65,0.0,1.0,0.0,0.0,0.0,0
0x02ca5d19ae986279ed592c57b9aa543c2517ec5d,195,46,9,121,19,1316,20,0.12736773350751143,0.8595689092096669,0.013063357282821686,0.2358974358974359,0.046153846153846156,0.6205128205128205,0.09743589743589744,0
0x02d0b53ec925f5c5907eb3dd85bededaa4362564,118,106,10,2,0,970,8,0.10766423357664233,0.885036496350365,0.0072992700729927005,0.8983050847457628,0.0847457627118644,0.01694915254237288,0.0,0
0x02d1347abe00beaa073058b1414722cdcc31abb3,10,10,0,0,0,10,0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0
0x02da54ffdbb67e35d70c6b20fa217349dee28b08,0,0,0,0,0,0,0,,,,,,,,0
0x02dfa0d5184c41689377d5d47054da210ce941f6,238,6,0,208,24,30,1696,0.12118126272912423,0.015274949083503055,0.8635437881873728,0.025210084033613446,0.0,0.8739495798319328,0.10084033613445378,0
0x02ec8d1f360ac651a99aec50c873100ca3563301,547,253,95,89,110,710,346,0.34123518402994385,0.4429195258889582,0.21584529008109793,0.4625228519195612,0.1736745886654479,0.16270566727605118,0.20109689213893966,0
0x02fabfd6d5608977d5952d9ef071445420c47efd,10,0,0,10,0,0,10,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0
0x02fd82cba3bae39484d5eb7f75b5f3d5f418c691,0,0,0,0,0,2228,0,0.0,1.0,0.0,,,,,0
0x030a027cdd6994a712fbb1efd6d36369ec7cca89,24,24,0,0,0,92,0,0.20689655172413793,0.7931034482758621,0.0,1.0,0.0,0.0,0.0,0
0x0310c4385311d225cbcaca26fefc9ab45d3eba3e,62,54,0,8,0,162,10,0.26495726495726496,0.6923076923076923,0.042735042735042736,0.8709677419354839,0.0,0.12903225806451613,0.0,0
0x031ae3d7e6b22b5400d215e6ca84ba4341e48b24,15,15,0,0,0,30,0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0
0x0324A5f6289e647BAf88d9c96c331Cf964220ce8,10,5,0,5,0,10,0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0
0x0324d6ca206dd4a807ac9fec93589fdd9e614cdf,30,10,0,10,10,10,30,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
0x032fb380d84917d408ea172383cf214c28b4fe21,10,10,0,0,0,10,0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0
0x0341552cabe750ae3a593de78a50bff0570efdea,25,25,0,0,0,100,0,0.2,0.8,0.0,1.0,0.0,0.0,0.0,0
0x0344d3fecda48b181d99a0b7d875d957aa12369c,337,29,2,207,99,74,1366,0.18964546989307823,0.04164321890827237,0.7687113111986494,0.08605341246290801,0.005934718100890208,0.6142433234421365,0.29376854599406527,0
0x03563a50e43a6841a56500071440549def71c98d,0,0,0,0,0,0,0,,,,,,,,0
0x0387cfC283fFcF25A4a6A61E832545Bbeb7c8fdA,40,10,0,20,10,10,60,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.25,0.0,0.5,0.25,0
0x03b5eeaf92c228f4da2b42468c15339d7873bbe5,5,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,546,146,85,127,188,312,788,0.33171324422843257,0.18955042527339003,0.4787363304981774,0.2673992673992674,0.15567765567765568,0.2326007326007326,0.3443223443223443,0
0x03b7882e55871ffb6300bd2511a52685d689bec3,169,107,3,51,0,1922,14,0.08028503562945369,0.913064133016627,0.00665083135391924,0.6331360946745562,0.01775147928994083,0.30177514792899407,0.0,0
0x03d18450b2ef96a94b2930e4c36d8a667ce51fc9,532,33,84,221,178,1608,150,0.23231441048034934,0.7021834061135371,0.06550218340611354,0.06203007518796992,0.15789473684210525,0.41541353383458646,0.33458646616541354,0
0x03e115d99f005f9df8accec3f3d07f54b593ee96,5,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0x03e27c1917672800d5fdceb96e1ec3fe672c2859,40,3,0,37,0,0,888,0.04310344827586207,0.0,0.9568965517241379,0.075,0.0,0.925,0.0,0
0x03f034fb47965123ea4148e3147e2cfdc5b1f7a5,321,63,9,150,97,88,1116,0.21049180327868852,0.057704918032786885,0.7318032786885246,0.19626168224299065,0.028037383177570093,0.4672897196261682,0.30218068535825543,0
0x042a788fd6cfd20662c7d7ec702cadc7e1af5c84,0,0,0,0,0,0,0,,,,,,,,0
0x043375ebc36fff7a4fcef1359f3c89afddf56e08,229,124,22,58,22,386,104,0.3184979137691238,0.5368567454798331,0.14464534075104313,0.5414847161572053,0.09606986899563319,0.25327510917030566,0.09606986899563319,0
0x0441C33cd5F806116c6dE528709368c6C7183cD9,5,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0x046e3a705d9bcd0e53d2b45161b48e39f4bc4090,10,0,0,10,0,0,10,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0
0x047136663dba3b4860f322b650dd8f2efcee8bb6,10,10,0,0,0,10,0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0
0x04727c2bb15f2b83e7d3ce88b008aa68dccea0c4,5,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0x047b83e0efb9203667a1fca927b0c4746d7ff6cf,549,74,25,292,155,2122,138,0.1954432182271271,0.7554289782840868,0.049127803488786044,0.13479052823315119,0.04553734061930783,0.5318761384335154,0.28233151183970856,0
0x048541809c8e9c75538d7416f40b9f83fa70069b,23,0,0,23,0,0,84,0.21495327102803738,0.0,0.7850467289719626,0.0,0.0,1.0,0.0,0
0x04914e7f178a1f3717d5afabfc2103255bcc0a5f,29,0,0,29,0,0,140,0.17159763313609466,0.0,0.8284023668639053,0.0,0.0,1.0,0.0,0
0x049b01966f721db6ec76097043e9d6eccaf719b6,280,106,26,118,24,218,288,0.356234096692112,0.27735368956743,0.366412213740458,0.37857142857142856,0.09285714285714286,0.42142857142857143,0.08571428571428572,0
0x04a3d37cae5fe8acfcaf6d5eb66369d639ff027e,0,0,0,0,0,60,0,0.0,1.0,0.0,,,,,0
0x050022eba4d55d242d9568794961df5596f968f2,290,166,45,4,75,2036,30,0.1230899830220713,0.8641765704584041,0.012733446519524618,0.5724137931034483,0.15517241379310345,0.013793103448275862,0.25862068965517243,0
0x051005cDCecd916FB8b98643d923646Acc7e07cd,58,58,0,0,0,970,0,0.05642023346303502,0.943579766536965,0.0,1.0,0.0,0.0,0.0,0
0x051a4a9b07c393f735a84aa9b97b1ea65bbbee18,425,135,84,124,80,352,486,0.33650039588281866,0.278701504354711,0.3847980997624703,0.3176470588235294,0.1976470588235294,0.2917647058823529,0.18823529411764706,0
0x052Ee5470868D14b158abb10DfcC76eD1cD1293d,113,2,1,68,42,2,2406,0.04482348274494248,0.0007933359777865926,0.954383181277271,0.017699115044247787,0.008849557522123894,0.6017699115044248,0.37168141592920356,0
0x052f585fa599bfb4bed290ff30c057627ccd8059,10,5,0,5,0,10,0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0
0x05584179486314536837e181d725e56560044bc7,149,2,1,58,88,8,3264,0.04355451622332651,0.00233849751534639,0.9541069862613271,0.013422818791946308,0.006711409395973154,0.38926174496644295,0.5906040268456376,0
0x05605a807f4444f8c2fdbc44f51717ab6c055cd2,146,131,0,15,0,8,1284,0.10152990264255911,0.005563282336578581,0.8929068150208623,0.8972602739726028,0.0,0.10273972602739725,0.0,0
0x05617f0530b3ae57cada0606785c45643ccd1d22,143,125,8,10,0,1242,12,0.10236220472440945,0.8890479599141017,0.008589835361488905,0.8741258741258742,0.055944055944055944,0.06993006993006994,0.0,0
0x0571491bfa5e1808cc622fe1067487e4ea292fcb,140,69,0,70,1,2040,6,0.06404391582799634,0.9332113449222323,0.0027447392497712718,0.4928571428571429,0.0,0.5,0.007142857142857143,0
