address,value_out,value_in,balance,degree,degree_in,degree_out,max_value,min_value,mean_value,std_value,median_value,motif1,motif1_00,motif1_01,motif1_10,motif1_11,motif2,motif3,motif1_ratio,motif2_ratio,motif3_ratio,motif1_00_ratio,motif1_01_ratio,motif1_10_ratio,motif1_11_ratio,0,1,2,3,4,5,6,7,8,9,label
0xaed44ccb06ed816c99c13e6e0b2eb48557fc50f5,16.415,16.41820257,-0.0032025699999991,9,8,1,16.415,0.2672528,3.6481336188888887,4.847898863278286,2.00448684,35,35,0,0,0,210,0,0.14285714285714285,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,10112.743951985613,74145.43558873745,38401.51369860263,119765.96208503618,98076.32432078321,16695.57972852142,67738.73892954807,12049.257419021207,51766.448034657886,18350.871262495803,0
0xAEDC8a3aFC62A3dEeE4Eb232bfDB28058Bf554D8,0.0,0.0,0.0,983,0,0,6.0,0.00189,0.3026624869199719,0.4760688915929568,0.11338704,0,0,0,0,0,0,0,,,,,,,,9957.218463819761,73997.45574246053,38272.66039399732,119611.96138560401,97985.40224267582,16543.183634811427,67584.93527980945,11897.633252368007,51613.55924944872,18198.302578349623,0
0xaf09d613d518a5760e4c7cbb876b12a1ddabc0e0,52.10621333580914,52.10952640650756,-0.0033130706984252,42,40,2,36.476213335809135,0.005,2.481327136721826,5.957370791886128,1.005461865,150,150,0,0,0,1062,10,0.12274959083469722,0.8690671031096563,0.008183306055646482,1.0,0.0,0.0,0.0,10092.759949879433,74125.89848497444,38384.79871470831,119746.41454978814,98064.67236380614,16676.035642586077,67719.19196300683,12029.715665356809,51747.01329256578,18331.334994525616,0
0xaf31bf4fa017768e6426308cf17e16d633700265,5.4948865,5.5,-0.0051135000000002,11,1,10,5.5,0.01,0.9995351363636364,1.795632983958639,0.3,0,0,0,0,0,0,252,0.0,0.0,1.0,,,,,10118.314004359525,74151.60983987643,38406.696041640374,119772.12663222765,98079.75481751049,16701.74429163193,67744.90236997101,12055.42188022087,51772.43905894497,18357.00904742437,0
0xaf483a73ec5c166b32240e6720d8f028c56fbc8a,13.68765932,13.68875132,-0.0010919999999998,6,4,2,7.475040196877,0.99958,4.562735106666667,2.630131044483986,5.1767259265615,40,35,0,5,0,60,10,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.875,0.0,0.125,0.0,10113.751642486915,74146.74719135987,38402.62043513239,119767.27443782512,98077.11084385545,16696.892215388747,67740.05114885453,12050.570095494182,51767.73764319204,18352.179538621953,0
0xaf5bda8f8b954b03474305fd148c8361cad4d2cd,3.854543536522804,3.755232629251454,0.0993109072713496,78,58,20,2.0,0.0,0.0975612328945417,0.2953686305213822,0.0068367508997748,341,134,10,175,4,1402,64,0.18871057000553404,0.7758716104039846,0.03541781959048146,0.39296187683284456,0.02932551319648094,0.5131964809384164,0.011730205278592375,10118.968868241303,74152.13096258555,38407.37610555688,119772.64338769474,98080.78931586392,16702.261029802867,67745.41964007824,12055.938697930835,51773.00730794423,18357.539733561036,0
0xaf8185ffff6a3508fc5498a5165bf64de0b0a1e5,2.6159935921,2.649465,-0.0334714079000004,34,12,22,2.4,0.0,0.1548664291794117,0.4931060345840153,0.005,343,27,0,292,24,178,542,0.32267168391345247,0.16745061147695203,0.5098777046095955,0.07871720116618076,0.0,0.8513119533527697,0.06997084548104957,10118.737388869622,74151.89237025534,38407.18439784231,119772.41807194072,98080.65297240736,16702.03570778029,67745.19432237092,12055.713311626443,51772.78290455535,18357.314414473556,0
0xafefe9cb85e071eb97f5f841aabbcce8e15156d7,32.88565748576684,12.165645327660942,20.720012158105902,20,18,2,31.889106332924538,0.01,2.252565140671389,7.010058577289232,0.9627054164211536,104,75,4,25,0,492,10,0.1716171617161716,0.8118811881188119,0.0165016501650165,0.7211538461538461,0.038461538461538464,0.2403846153846154,0.0,10116.18271771503,74148.08780378592,38404.3970611237,119769.01774496111,98078.19714051312,16698.643035589663,67741.79558843827,12052.321106044872,51769.50051483842,18353.932152963785,0
0xaff3c57469d4d7756caed351ee154734b7e733bf,5.3028346216,5.3242388716,-0.0214042500000006,17,10,7,2.4002239608,0.00127463,0.6251219701882353,0.5491755276649208,0.5,84,84,0,0,0,396,8,0.1721311475409836,0.8114754098360656,0.01639344262295082,1.0,0.0,0.0,0.0,10118.594280149051,74151.69295542238,38406.902237068476,119772.22267483658,98080.37511132735,16701.840293382942,67744.99883732361,12055.517778322495,51772.56671372631,18357.118864734835,0
0xaff940e5b3fe128df0b03185e523b0b070379525,2.6921,2.7000780990591564,-0.0079780990591564,36,29,7,0.858,2.6006449599501e-05,0.1497827249738654,0.1903689862805297,0.08,253,98,81,60,7,682,70,0.2517412935323383,0.6786069651741293,0.06965174129353234,0.38735177865612647,0.3201581027667984,0.23715415019762845,0.02766798418972332,10119.751711778517,74152.85965642604,38407.99415129913,119773.38036311392,98081.20103311959,16702.99798307308,67746.15662308635,12056.675539573209,51773.73999118629,18358.277065651633,0
